question,date,name,vote,confidence
"Question B:                                Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",Anil Kashyap,Agree,3
"Question B:                                Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",Pete Klenow,Agree,5
"Question B:                                Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",Jonathan Levin,Uncertain,3
"Question B:                                Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",Eric Maskin,Agree,7
"Question B:                                Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",William Nordhaus,Agree,2
"Question B:                                Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",Emmanuel Saez,Agree,4
"Question B:                                Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",Larry Samuelson,Agree,8
"Question B:                                Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",José Scheinkman,Uncertain,4
"Question B:                                Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",Richard Schmalensee,Strongly Agree,6
"Question B:                                Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",Carl Shapiro,Did Not Answer,
"Question B:                                Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",Robert Shimer,Agree,7
"Question B:                                Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",Richard Thaler,Strongly Agree,5
"Question B:                                Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",Christopher Udry,Agree,3
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Daron Acemoglu,Agree,3
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Alberto Alesina,Disagree,2
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Joseph Altonji,Agree,3
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Alan Auerbach,Uncertain,3
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",David Autor,No Opinion,
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Katherine Baicker,No Opinion,
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Abhijit Banerjee,Agree,7
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Marianne Bertrand,Uncertain,1
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Markus Brunnermeier,Agree,8
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Raj Chetty,Did Not Answer,
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Judith Chevalier,Did Not Answer,
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",David Cutler,Uncertain,5
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Angus Deaton,Agree,8
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Darrell Duffie,Agree,3
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Aaron Edlin,Uncertain,7
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Barry Eichengreen,Agree,7
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Liran Einav,No Opinion,
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Ray Fair,Uncertain,1
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Amy Finkelstein,Did Not Answer,
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Pinelopi Goldberg,Uncertain,6
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Austan Goolsbee,Uncertain,1
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Michael Greenstone,Did Not Answer,
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Robert Hall,Uncertain,1
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Oliver Hart,Strongly Agree,7
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Bengt Holmström,Agree,4
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Caroline Hoxby,Strongly Disagree,10
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Hilary Hoynes,Uncertain,1
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Kenneth Judd,Strongly Agree,8
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Steven Kaplan,Uncertain,5
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Anil Kashyap,Agree,7
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Pete Klenow,Agree,5
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Jonathan Levin,Uncertain,4
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Eric Maskin,Agree,6
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",William Nordhaus,Agree,7
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Emmanuel Saez,Uncertain,3
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Larry Samuelson,Uncertain,1
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",José Scheinkman,Uncertain,5
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Richard Schmalensee,Agree,5
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Carl Shapiro,Agree,3
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Robert Shimer,Agree,6
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Richard Thaler,Uncertain,10
"Question A:                                If the UK opts to withdraw from the European Union, and assuming Scotland stays in the UK, the level of the UK's real per-capita income a decade later will be lower than if it remains part of the EU.","Tuesday, February 2nd, 2016 11:25 am",Christopher Udry,No Opinion,
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Daron Acemoglu,Uncertain,4
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Alberto Alesina,Agree,8
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Joseph Altonji,Strongly Agree,6
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Alan Auerbach,Agree,7
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",David Autor,Agree,5
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Katherine Baicker,No Opinion,
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Abhijit Banerjee,Agree,6
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Marianne Bertrand,Agree,4
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Markus Brunnermeier,Uncertain,8
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Raj Chetty,Did Not Answer,
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Judith Chevalier,Did Not Answer,
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",David Cutler,Agree,6
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Angus Deaton,Strongly Agree,9
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Darrell Duffie,Agree,3
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Aaron Edlin,Agree,7
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Barry Eichengreen,Uncertain,1
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Liran Einav,Agree,1
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Ray Fair,Uncertain,1
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Amy Finkelstein,Did Not Answer,
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Pinelopi Goldberg,Agree,6
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Austan Goolsbee,Strongly Agree,7
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Michael Greenstone,Did Not Answer,
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Robert Hall,Agree,2
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Oliver Hart,Agree,7
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Bengt Holmström,Agree,6
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Caroline Hoxby,Agree,5
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Hilary Hoynes,Agree,8
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Kenneth Judd,Agree,7
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Steven Kaplan,Agree,8
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Anil Kashyap,Agree,7
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Pete Klenow,Disagree,3
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Jonathan Levin,Uncertain,4
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Eric Maskin,Agree,4
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",William Nordhaus,Agree,4
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Emmanuel Saez,Agree,4
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Larry Samuelson,Agree,8
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",José Scheinkman,No Opinion,
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Richard Schmalensee,No Opinion,
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Carl Shapiro,No Opinion,
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Robert Shimer,Agree,6
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Richard Thaler,Uncertain,1
"Question B:                                If the UK exits the EU, then it substantially increases the chances that some other current region of the EU will also exit within the following decade.","Tuesday, February 2nd, 2016 11:25 am",Christopher Udry,Agree,7
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Daron Acemoglu,Uncertain,3
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Alberto Alesina,Disagree,5
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Joseph Altonji,Disagree,3
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Alan Auerbach,Disagree,3
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",David Autor,Agree,5
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Katherine Baicker,Uncertain,3
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Abhijit Banerjee,Did Not Answer,
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Marianne Bertrand,Uncertain,4
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Markus Brunnermeier,Uncertain,5
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Raj Chetty,Did Not Answer,
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Judith Chevalier,Did Not Answer,
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",David Cutler,Uncertain,3
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Angus Deaton,Strongly Agree,10
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Darrell Duffie,Agree,3
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Aaron Edlin,Uncertain,6
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Barry Eichengreen,Disagree,5
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Liran Einav,Agree,1
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Ray Fair,Uncertain,5
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Amy Finkelstein,Agree,2
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Austan Goolsbee,Strongly Disagree,9
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Michael Greenstone,Did Not Answer,
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Robert Hall,Uncertain,5
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Oliver Hart,Uncertain,5
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Bengt Holmström,Disagree,3
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Caroline Hoxby,Did Not Answer,
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Hilary Hoynes,No Opinion,
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Kenneth Judd,Uncertain,6
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Steven Kaplan,Uncertain,4
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Anil Kashyap,Uncertain,5
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Pete Klenow,Agree,3
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Jonathan Levin,Uncertain,3
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Eric Maskin,Did Not Answer,
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",William Nordhaus,Uncertain,5
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Maurice Obstfeld,Disagree,8
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Emmanuel Saez,Uncertain,4
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Larry Samuelson,Uncertain,1
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",José Scheinkman,Uncertain,7
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Richard Schmalensee,Disagree,4
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Carl Shapiro,Disagree,2
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Robert Shimer,Disagree,4
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",James Stock,Agree,4
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Richard Thaler,Strongly Disagree,5
"Question A:                                Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Monday, December 30th, 2019 9:31 am",Christopher Udry,No Opinion,
Question B:                                The near certainty that the UK will leave the European Union’s customs union and single market in 2020 offers a sizeable export market opportunity for American business.,"Monday, December 30th, 2019 9:31 am",Daron Acemoglu,Uncertain,2
Question B:                                The near certainty that the UK will leave the European Union’s customs union and single market in 2020 offers a sizeable export market opportunity for American business.,"Monday, December 30th, 2019 9:31 am",Alberto Alesina,Uncertain,4
Question B:                                The near certainty that the UK will leave the European Union’s customs union and single market in 2020 offers a sizeable export market opportunity for American business.,"Monday, December 30th, 2019 9:31 am",Joseph Altonji,Strongly Disagree,8
Question B:                                The near certainty that the UK will leave the European Union’s customs union and single market in 2020 offers a sizeable export market opportunity for American business.,"Monday, December 30th, 2019 9:31 am",Alan Auerbach,Disagree,5
Question B:                                The near certainty that the UK will leave the European Union’s customs union and single market in 2020 offers a sizeable export market opportunity for American business.,"Monday, December 30th, 2019 9:31 am",David Autor,Uncertain,5
Question B:                                The near certainty that the UK will leave the European Union’s customs union and single market in 2020 offers a sizeable export market opportunity for American business.,"Monday, December 30th, 2019 9:31 am",Katherine Baicker,Uncertain,3
Question B:                                The near certainty that the UK will leave the European Union’s customs union and single market in 2020 offers a sizeable export market opportunity for American business.,"Monday, December 30th, 2019 9:31 am",Abhijit Banerjee,Did Not Answer,
Question B:                                The near certainty that the UK will leave the European Union’s customs union and single market in 2020 offers a sizeable export market opportunity for American business.,"Monday, December 30th, 2019 9:31 am",Marianne Bertrand,Agree,4
Question B:                                The near certainty that the UK will leave the European Union’s customs union and single market in 2020 offers a sizeable export market opportunity for American business.,"Monday, December 30th, 2019 9:31 am",Markus Brunnermeier,Strongly Disagree,7
Question B:                                The near certainty that the UK will leave the European Union’s customs union and single market in 2020 offers a sizeable export market opportunity for American business.,"Monday, December 30th, 2019 9:31 am",Raj Chetty,Did Not Answer,
